Family ID,Created at,Survey number,Priority date,Indicator,Level,Why don't you have it,What will you do to get it,How long will it take to achieve it,Estimated date
21187,2021-11-12,1º,2021-11-12,Budget,2,,,5,2022-04-12
21187,2021-11-12,1º,2021-11-12,Physical Activity,2,Na,Na,7,2022-06-12
21187,2021-11-12,1º,2021-11-12,Entertainment,2,,,5,2022-04-12
21187,2022-10-11,3º,2022-10-12,Credit,2,Haven't had no credit open ,Try to open some credit to be able to build it.,6,2023-04-12
21187,2022-10-11,3º,2022-10-12,Debt,2,Trying to stick to a budget that will help manage my debts.,Stick to a family budget ,10,2023-08-12
21187,2022-10-11,3º,2022-10-12,Budget,2,Single parent with three children and one on the way,Try to manage my budget because we want to acquire our own home. ,12,2023-10-12
35276,2022-12-08,1º,2022-12-08,Income,2,I am currently looking for a job,apply online and in person,6,2023-06-08
35276,2022-12-08,1º,2022-12-08,Savings,2,I do not have a job,Once I find a job I will start saving a little every month,12,2023-12-08
35001,2022-06-06,1º,2022-06-06,Income,2,because I am a full time student,complete cosmetology school,12,2023-06-06
35001,2022-07-11,2º,2022-07-11,Income,2,because I am in school and not able to work,find me a job when I finish school,18,2024-01-11
27697,2021-11-15,1º,2021-11-15,Budget,1,No enough money,Need better job,12,2022-11-15
19035,2021-11-12,1º,2021-11-12,Credit,1,Nunca eh comprado algo a credito,Tener mas informacion,1,2021-12-12
35319,2021-11-10,1º,2021-11-10,Income,2,I make enough income to live from paycheck to paycheck,Look for a job that pays better.,6,2022-05-10
35319,2021-11-10,1º,2021-11-10,Credit,2,I never had a need to,I am joining credit Karma,12,2022-11-10
35319,2021-11-10,1º,2021-11-10,Debt,2,I don't make enough money,apply for positions that pay more money.,12,2022-11-10
34441,2021-10-26,1º,2021-10-26,Income,2,No working,Get a stable job,6,2022-04-26
34441,2021-10-26,1º,2021-10-26,Savings,1,"Not currently working, twins are too small ",Try finding a job working from home,6,2022-04-26
34441,2021-10-26,1º,2021-10-26,Debt,2,Currently not working ,Find a stable job,6,2022-04-26
34441,2022-08-30,3º,2022-08-31,Savings,1,Im currently unemployed ,i will find  a job that provides sufficient income for my family ,3,2022-11-30
34441,2022-08-30,3º,2022-08-31,Budget,2,currently unemployed  ,after I obtain a job i will follow a family budget ,5,2023-01-31
34441,2022-08-30,3º,2022-08-31,Stable Income,2,i dont have a job ,currently finishing my course and then I will start my resume and applying to jobs  ,2,2022-10-31
30856,2021-10-07,1º,2021-10-07,Savings,1,We dont have enough money it goes quickly ,If i dont need to buy something will not get it,8,2022-06-07
30856,2021-10-07,1º,2021-10-07,Credit,1,Have bankruptcy ,Try to fix it with lawyers help ,24,2023-10-07
30856,2021-10-07,1º,2021-10-07,Employability Readiness,2,Don't know how tomake resumes ,Will like more info on workfirst,4,2022-02-07
29897,2021-11-17,1º,2021-11-17,Budget,1,Spend more money than I should,Save money,6,2022-05-17
29982,2022-12-02,3º,2022-12-02,Stable Housing,1,Build up financial situation ,Work and save,8,2023-08-02
13662,2022-11-29,1º,2022-11-29,Savings,1,I dont work,Try to obtain more i nformation,12,2023-11-29
27724,2021-11-10,1º,2021-11-10,Savings,2,COVID has put a big dip in our savings.,Since we are working we plan to put 100 dollars away a month.,6,2022-05-10
27724,2021-11-10,1º,2021-11-10,Credit,2,I have not had a reason to.,I am joining credit sesame where they check my credit monthly,6,2022-05-10
27724,2021-11-10,1º,2021-11-10,Employability Readiness,2,I have not taken time to create one.,I use an online tutorial to create a resume,3,2022-02-10
27724,2022-05-06,2º,2022-05-06,Savings,2,I am the only one working to provide for my family.,Get a part time job,12,2023-05-06
167406,2023-06-29,2º,2023-06-29,Credit,2,I check my credit is not where i wanted to be ,,4,2023-10-29
35078,2022-05-14,1º,2022-05-14,Income,2,I can only find part time employment,I am currently looking a fulltime job,12,2023-05-14
35078,2022-05-14,1º,2022-05-14,Savings,2,I only work part time and it is barley enough to pay the bills.,I am looking for full time employment,12,2023-05-14
1234,2022-11-15,1º,2022-11-15,Savings,2,,,4,2023-03-15
1234,2022-11-15,1º,2022-11-15,Budget,2,,,1,2022-12-15
1234,2022-11-15,1º,2022-11-15,Nutritious diet,2,,,2,2023-01-15
21861,2021-11-10,1º,2021-11-10,Savings,1,Struggling to make ends meet,Find a job with good benefits so I can save. ,6,2022-05-10
21861,2021-11-10,1º,2021-11-10,Budget,1,Trying to make ends meet,Practice budgeting,12,2022-11-10
21861,2021-11-10,1º,2021-11-10,Stable Income,1,My hours vary at work,Try and pick more hours,5,2022-04-10
21861,2022-11-04,3º,2022-11-04,Income,2,Saving is hard,Save from check,3,2023-02-04
21861,2022-11-04,3º,2022-11-04,Savings,1,I did but had to touch it for emergency ,Save from paycheck,5,2023-04-04
21861,2022-11-04,3º,2022-11-04,Budget,2,I do but need improvement ,Save more,3,2023-02-04
37401,2023-01-19,1º,2023-01-19,Nutritious diet,2,,,6,2023-07-19
37401,2023-01-19,1º,2023-01-19,Physical Activity,2,,,9,2023-10-19
5,2021-03-12,1º,2021-05-18,Budget,1,Need employment,Find a job,3,2021-08-18
21954,2021-11-10,1º,2021-11-10,Savings,1,I do not have a job,I need to apply for jobs online,6,2022-05-10
21954,2021-11-10,1º,2021-11-10,Budget,1,I don't have a budget because I don't have a job,After I get a job I will start a monthly family budget,6,2022-05-10
21954,2021-11-10,1º,2021-11-10,Stable Income,2,Because I don't have a job,II am trying to find a job,6,2022-05-10
21954,2022-05-09,2º,2022-05-09,Savings,2,I have been unemployeed since COVID and because I have to take care of my son with special needs,I am starting a job  as a substitute teacher,12,2023-05-09
21954,2022-05-09,2º,2022-05-09,Budget,2,because I have been unemployeed,I have started working as a substitute teacher,12,2023-05-09
35997,2022-07-08,1º,2022-07-12,Income,2,We have income but would like to work on having more,We both want to earn our GED,12,2023-07-12
35997,2022-07-08,1º,2022-07-12,Identification,1,"Dad-""My identification and birth certificate was stolen 2 years ago""","""I will follow the procedures to get my identifications back""",12,2023-07-12
36152,2022-05-13,1º,2022-05-13,Income,2,I am still in school,Get a job,12,2023-05-13
36152,2022-05-13,1º,2022-05-13,Savings,2,I am not working and looking for a job,I am opening a savings account when I start working,12,2023-05-13
31446,2022-05-09,2º,2022-05-09,Credit,2,I have had few problems in the past with health which caused my credit score to drop.,I called the medical providers and set up payments .,12,2023-05-09
31446,2022-05-09,2º,2022-05-09,Budget,2,I have a budget but do not always follow it.,I will start following it and checking off the things I pay out of my budget and writing down on the necessities .,12,2023-05-09
35680,2022-05-14,2º,2022-05-14,Income,2,I am unemployed,I will find a job,12,2023-05-14
35680,2022-05-14,2º,2022-05-14,Savings,2,I am unemployed,I will find me a job and start saving a little every week.,12,2023-05-14
35134,2023-01-12,1º,2023-01-12,Credit,2,,,9,2023-10-12
35134,2023-01-12,1º,2023-01-12,Literacy,1,,,7,2023-08-12
35914,2022-05-14,1º,2022-05-14,Income,1,I relocated here from Puerto Ricco,I am looking and applying for jobs.,12,2023-05-14
35914,2022-05-14,1º,2022-05-14,Savings,2,I have not found a job but I am currently looking.,When I find a job I will start saving a little every week for emergencies,12,2023-05-14
36166,2022-05-13,1º,2022-05-13,Income,1,I am unemployed ,I am looking a job,12,2023-05-13
36166,2022-05-13,1º,2022-05-13,Savings,1,I don't have a job,I am filling out applications in person and online,12,2023-05-13
36999,2023-03-24,2º,2023-03-24,Income,2,Unexpected expenses ,Save more money ,6,2023-09-24
33333,2022-11-17,1º,2022-11-17,Savings,1,Working hours change,Saving more putting extra money to the side,1,2022-12-17
33333,2022-11-17,1º,2022-11-17,Credit,1,I only have my phone bill running off my credit ,"Try to vind more things to ,make sure my credit is increasing ",2,2023-01-17
33333,2022-11-17,1º,2022-11-17,Internet,1,Over due ,Making payment towards it ,3,2023-02-17
33333,2021-12-16,1º,2021-12-16,Bank services,1,Have other resources ,Try to see which bank has more benefits,1,2022-01-16
33333,2021-12-16,1º,2021-12-16,Budget,1,Minimum wage job,Apply for better job,3,2022-03-16
33333,2021-12-16,1º,2021-12-16,Stable Income,1,Work at a minimum wage job,Better paying job,3,2022-03-16
14155,2022-11-29,1º,2022-11-29,Savings,1,Not able to,Attend financial sessions ,4,2023-03-29
35589,2021-10-18,1º,2021-10-18,Bank services,1,Teen mom havent really asked,Call banks and see who provides accounts to teenagers,3,2022-01-18
35589,2021-10-18,1º,2021-10-18,Sexual health,1,Teen mom,Find flyers and get educated,3,2022-01-18
35589,2021-10-18,1º,2021-10-18,Internet,1,No service in my area,Try to find portable internet access,2,2021-12-18
35589,2021-10-18,1º,2021-10-18,Emotional Intelligence,1,Not so self confident ,Get help ,5,2022-03-18
35589,2022-10-14,3º,2022-10-18,Employability Readiness,2,Currently still in high school ,Finish my high school courses by December,3,2023-01-18
35589,2022-10-14,3º,2022-10-18,Physical Activity,2,Because I have a lot of homework ,Try to manage my time wisely ,6,2023-04-18
35589,2022-10-14,3º,2022-10-18,Self-Confidence,2,Being a teen mom and finishing my high school ,Try to priorities my goals ,5,2023-03-18
35842,2021-11-29,1º,2021-11-29,Credit,2,Improving building credit ,Building credit ,12,2022-11-29
35842,2021-11-29,1º,2021-11-29,Debt,2,Schools debt,Get a better job,6,2022-05-29
35842,2021-11-29,1º,2021-11-29,Internet,2,Live in the country not strong ,Find another res6,4,2022-03-29
35842,2022-09-22,3º,2022-10-03,Income,2,Big family and single mom,Finishing my Master degree ,5,2023-03-03
35842,2022-09-22,3º,2022-10-03,Savings,2,"I have a big family, Im a single mom",Get a better paying job after obtaining my Master degree. ,3,2023-01-03
35842,2022-09-22,3º,2022-10-03,Debt,2,"Currently employed 2nd shift, pay is decent but will look for a better paying job.",Apply to new jobs after finishing my Masters.,3,2023-01-03
149230,2023-03-28,2º,2023-03-28,Credit,2,To be honest i haven't need it.,i will check website like Credit Karma and my bank ,3,2023-06-28
36475,2022-11-29,1º,2022-11-29,Nutritious diet,2,I am always in a hurry ,Plan a Nutrition meals,6,2023-05-29
34494,2021-11-02,1º,2021-11-02,Budget,2,I need to workon my budget.,Practice saving.,6,2022-05-02
172260,2023-04-24,1º,2023-04-24,Credit,2,never had anything in my name,find a good way to start ,6,2023-10-24
172260,2023-04-24,1º,2023-04-24,Budget,2,single income household,learn to budget better,3,2023-07-24
3,2020-12-04,1º,2020-12-04,Stable Housing,1,Unable to find affordable housing,Search for homes in my budget,6,2021-06-04
3253,2022-11-28,3º,2022-11-28,Savings,1,Nunca hemos pensado en eso,obtener mas informacion,16,2024-03-28
37104,2022-11-28,1º,2022-11-28,Budget,2,Need more informacion ,Obtained information ,4,2023-03-28
35286,2021-11-11,1º,2021-11-15,Income,1,I lost my job ,Apply to different jobs in the are ,4,2022-03-15
35286,2021-11-11,1º,2021-11-15,Credit,1,I make bad decisions ,start making payments on time ,6,2022-05-15
35286,2021-11-11,1º,2021-11-15,Budget,1,I never tough about getting one ,start by looking at my expenses ,6,2022-05-15
166098,2021-11-11,1º,2021-11-11,Nutritious diet,2,we do fast foods when we get busy in times ,"Get Nutritious food , when we go out to eat ",4,2022-03-11
166098,2021-11-11,1º,2021-11-11,Physical Activity,2,we have not planned activities as a family ,Make time for physical activities outdoors ,6,2022-05-11
27381,2021-10-18,1º,2021-10-18,Credit,2,Credit score is low,Pay off bill,2,2021-12-18
27381,2021-10-18,1º,2021-10-18,Budget,2,Spend alot,Save more money ,3,2022-01-18
16944,2022-11-29,1º,2022-11-29,Physical Activity,2,I just have not put time to do it ,I will work on this Activity ,6,2023-05-29
30983,2022-12-13,1º,2022-12-13,Budget,2,,,5,2023-05-13
30983,2022-12-13,1º,2022-12-13,Physical Activity,2,,,6,2023-06-13
166148,2022-01-26,1º,2022-01-26,Income,1,I'm in the process of applying for SSI. I just receive child support now.,I will apply as soon as possible.,3,2022-04-26
166148,2022-01-26,1º,2022-01-26,Savings,1,"I really don't have any money to save, because I only get $200.00  per month in child support, for three kids. ","I will start saving, using the money saving challenges, my home visitor provided me with.",6,2022-07-26
166148,2022-01-26,1º,2022-01-26,Bank services,1,I currently don't have a banking account. ,"Once I start receiving income, I will see if my home visitor can assist me with starting a banking account.",6,2022-07-26
166148,2022-01-26,1º,2022-01-26,Transportation,1,"I have a car, but it needs repairs, and I don't have the money.","Once I start receiving income, I will get it fixed. ",6,2022-07-26
15884,2022-10-19,1º,2022-10-19,Savings,1,Have been a stay at home mom or part time employed for the past two years,Begin working more hours,5,2023-03-19
15884,2022-10-19,1º,2022-10-19,Debt,1,"Have been a stay at home mom for the past two years, was unable to work",Being working more hours ,6,2023-04-19
15884,2022-10-19,1º,2022-10-19,Vaccines,1,Religious exemption,n/a,1,2022-11-19
15884,2022-10-19,1º,2022-10-19,Civic Engagement,1,Don't know much information about civic events available,research civic events,1,2022-11-19
35486,2022-01-14,1º,2022-01-14,Physical Activity,2,need places to go the is free,search for free community events,6,2022-07-14
34081,2022-05-14,2º,2022-05-14,Savings,2,i only work part time,I am applying for full time jobs,12,2023-05-14
34081,2022-05-14,2º,2022-05-14,Budget,2,I have never been shown how to make a budget,I will sit down and write out all my bills and write down the money I bring home and see what I have left,12,2023-05-14
35691,2022-05-04,1º,2022-05-04,Savings,1,I have been out of work,Apply for jobs on the web and in person,12,2023-05-04
35691,2022-05-04,1º,2022-05-04,Budget,1,I don't have a job,I am currently looking work,12,2023-05-04
35691,2022-05-04,2º,2022-05-04,Savings,2,I just started a new job,work and I plan to try to save $25 dollars a week to build up a savings account.,12,2023-05-04
35691,2022-05-04,2º,2022-05-04,Budget,2,I just started working so now I will set up a budget.,Write everything down that is coming in and what my bills are every month.,12,2023-05-04
35691,2022-12-09,3º,2022-12-09,Transportation,1,Car not working,in process fixing car,2,2023-02-09
35119,2022-11-21,1º,2022-11-21,Savings,2,Job hours cutt,Find a better job,10,2023-09-21
35119,2022-11-21,1º,2022-11-21,Credit,2,I dont own or have anything to establish credit,Lease somethin,12,2023-11-21
35119,2022-11-21,1º,2022-11-21,Civic Engagement,1,I prefer not to be around people often,Nothing ,1,2022-12-21
35326,2021-11-04,1º,2021-11-04,Savings,2,Because COVID caused us to use it up.,Start putting 50 dollars a month away.,6,2022-05-04
35326,2021-11-04,1º,2021-11-04,Credit,2,I need to check my credit more regularly.,I will join credit Karma.,6,2022-05-04
35326,2021-11-04,1º,2021-11-04,Stable Income,2,Because life has challenges.,Learn how to handle changes.,6,2022-05-04
162812,2023-03-03,1º,2023-03-03,Literacy,2,I NEED TO LEARN ENGLISH ,SIGN UP FOR E S L ,6,2023-09-03
31810,2021-10-08,1º,2021-10-08,Mental health services,2,Cause I haven't need it,Look for information on mental health ,3,2022-01-08
31810,2021-10-08,1º,2021-10-08,Nutritious diet,2,Because my cultural doesnt eat health ,Introduction more whole grain items,1,2021-11-08
31810,2021-10-08,1º,2021-10-08,Literacy,2,I didnt try to learn it ,Try to sign up for classes ,6,2022-04-08
15923,2021-10-18,1º,2021-10-18,Savings,2,Havent put money aside,Start saving more,4,2022-02-18
15923,2021-10-18,1º,2021-10-18,Credit,2,School loans,Pay off more ,4,2022-02-18
15923,2021-10-18,1º,2021-10-18,Debt,2,School loans,Pay off more,5,2022-03-18
15923,2021-10-18,1º,2021-10-18,Budget,2,Make budget plan,Write out budgeting,3,2022-01-18
15923,2021-10-18,1º,2021-10-18,Stable Income,2,Im not currently workjnv,Keep looking for a job,2,2021-12-18
15923,2021-10-18,1º,2021-10-18,Mental health services,2,Have not found a therapist for my daughter close by,Research ,1,2021-11-18
15923,2021-10-18,1º,2021-10-18,Internet,2,We use our phones,Look into wifi services,1,2021-11-18
15923,2021-10-18,1º,2021-10-18,Entertainment,2,Covid has distanced us,Keep precautions ,2,2021-12-18
15923,2021-10-18,1º,2021-10-18,Community,2,Just moved to roseboro,Look into recreational things,4,2022-02-18
15923,2021-10-18,1º,2021-10-18,Civic Engagement,2,I dont vote,Look into possibly becoming a voter,3,2022-01-18
30979,2021-12-16,1º,2021-12-17,Credit,1,I  don't make enough money,I am working to find me a better job.,12,2022-12-17
35238,2022-12-08,1º,2022-12-08,Income,2,The company I work for pays low wages,ask for a raise and apply for management positions,12,2023-12-08
35238,2022-12-08,1º,2022-12-08,Stable Income,2,i work just need to make more money,work more hours and start putting 20 dollars away every month,12,2023-12-08
35238,2021-11-04,1º,2021-11-04,Savings,2,We put 30 dollars away a week to build up our savings.,We will start on Friday of this week,6,2022-05-04
35238,2021-11-04,1º,2021-11-04,Credit,2,I haven't checked it because I didn't think about it being a priority,I will join credit sesame,6,2022-05-04
35238,2021-11-04,1º,2021-11-04,Stable Income,2,Because I worked part time,I am working towards finding a job with regular hours,9,2022-08-04
35238,2022-05-04,2º,2022-05-04,Savings,2,I work full time but just do not make enough money,I am attending classes to get a better job now.,12,2023-05-04
15335,2022-10-05,1º,2022-10-05,Literacy,1,My husband does have time to study,Register for ESL classes,8,2023-06-05
34236,2021-11-08,1º,2021-11-18,Physical Activity,2,I have three young kids and I'm always busy taking care of them.,Maybe incorporate exercise activities with the babies so I can get some physical activity in.,5,2022-04-18
36529,2022-12-08,1º,2022-12-08,Enough space,2,I AM A FOSTER PARENT,ADVENTUARALLY MOVE TO A BIGGER HOME,12,2023-12-08
36529,2022-12-08,1º,2022-12-08,Kitchen,2,I LIVE IN AN OLDER HOME THAT USE UPDATING,SEE IF I CAN FIND REASONABLE COMPANT TO REMODEL IT FOR ME.,12,2023-12-08
31757,2021-10-06,1º,2021-10-06,Savings,2,At time due to express ,Save $5 a week ,8,2022-06-06
31757,2021-10-06,1º,2021-10-06,Nutritious diet,2,Like to eat what is not heathy,Eat more heathy food veggies and fruits,4,2022-02-06
31757,2021-10-06,1º,2021-10-06,Literacy,1,Because have not gone to school,Enroll in evening class,3,2022-01-06
163882,2022-05-04,1º,2022-05-04,Savings,2,I have not set aside money for emergencies ,I have to set aside $20.00 a week to earn some savings ,12,2023-05-04
27186,2021-11-03,1º,2021-11-03,Credit,2,Need to pay off student loans,Work harder ,8,2022-07-03
27186,2021-11-03,1º,2021-11-03,Community,1,Im not a people person,Meet new ppl,8,2022-07-03
27186,2021-11-03,1º,2021-11-03,Civic Engagement,1,I dont understand ,Meet new people,12,2022-11-03
25323,2022-12-08,1º,2022-12-08,Income,2,NEED TO MAKE MORE MONEY PER HOUR,ASK FOR EXTRA HOURS AT WORK,6,2023-06-08
25323,2022-12-08,1º,2022-12-08,Savings,2,NOT MAKING ENOUGH MONEY,ASK MY SUPERVISOR FOR A RAISE,12,2023-12-08
33598,2021-10-22,1º,2021-11-19,Savings,2,Its hard to save with the financial responsibilities that I have.,Put 5 dollars a week aside.,5,2022-04-19
33598,2022-10-13,3º,2022-10-13,Savings,2,Single parent with 3 children,Request for more hours at work,5,2023-03-13
33598,2022-10-13,3º,2022-10-13,Credit,2,I do have some credit but want to make it better,Pay credit limit on time ,6,2023-04-13
33598,2022-10-13,3º,2022-10-13,Budget,2,Single parent trying to make ends meet on my own.,Request more hours at work in order to be able to budget with what I do have.,6,2023-04-13
33598,2023-06-08,4º,2023-06-08,Credit,2,Always have other things to do,Work ,6,2023-12-08
161034,2021-11-11,1º,2021-11-11,Nutritious diet,2,we get busy due to time once a while we get fast food ,We will try to eat healthy nutritious meals during the week ,3,2022-02-11
161034,2021-11-11,1º,2021-11-11,Physical Activity,2,we dont have an active lifestyle ,we have to exercise more during the week make time for us ,6,2022-05-11
4,2021-03-11,1º,2021-05-18,Income,2,Need a better job,Apply for different jobs,2,2021-07-18
35590,2021-11-15,1º,2021-11-15,Stable Income,1,My husband job is not stable,Try to obtain new job,3,2022-02-15
3275,2021-11-10,1º,2021-11-10,Income,2,Because I stay at home to take care of the children.,Find a job,6,2022-05-10
3275,2021-11-10,1º,2021-11-10,Budget,1,never thought about it,I will write down all the bills and income that comes in the house weekly,12,2022-11-10
3275,2021-11-10,1º,2021-11-10,Stable Income,2,I don't work but my partner does,fill out applications for a job and prepare for interviews,6,2022-05-10
16347,2021-11-09,1º,2021-11-09,Debt,2,Is not a priority ,Get payments ,12,2022-11-09
31761,2021-11-08,1º,2021-11-08,Income,2,I need a better paying job,apply for jobs with higher pay.,8,2022-07-08
31761,2021-11-08,1º,2021-11-08,Savings,2,didn't know how to save.,I am starting an account where I shave 20 dollars a per pay check,6,2022-05-08
31761,2021-11-08,1º,2021-11-08,Budget,2,never knew where to start,Write down all incoming resources  and what I am spending every month.,6,2022-05-08
31761,2022-05-06,2º,2022-05-06,Savings,2,I have more bills than I have money.,Work more hours at work,12,2023-05-06
31761,2022-05-06,2º,2022-05-06,Budget,2,I have a budget but sometimes I do not follow it.,I will redo my budget and start following it.,12,2023-05-06
2,2020-12-04,1º,2020-12-04,Savings,2,I am trying to buy a home,Put extra away,6,2021-06-04
26391,2022-01-21,1º,2022-01-21,Literacy,2,I was born in another country,Learn through take home activities at home to help me get my citizen ship,12,2023-01-21
26391,2022-11-29,3º,2022-11-29,Budget,2,Never had thought about it on Planning it ,start saving on income coming in ,7,2023-06-29
34904,2021-11-12,1º,2021-11-12,Credit,1,Never started,Get more information ,4,2022-03-12
36746,2023-01-31,1º,2023-01-31,Savings,2,Lack of job ,putting applications in ,1,2023-02-28
31063,2022-05-09,2º,2022-05-09,Savings,2,It takes what I make to take care of the children.,I am working towards saving money weekly now.,12,2023-05-09
31063,2022-05-09,2º,2022-05-09,Credit,2,I had doctor bills that build up and it is effecting my credit,I will call the medical professionals and set up a payment plan,12,2023-05-09
37095,2022-11-15,1º,2022-11-15,Income,2,on a fixed income,continue with fixed income,2,2023-01-15
26186,2022-06-07,1º,2022-06-07,Income,2,I do not have a job,I am currently looking for work,12,2023-06-07
26186,2022-06-07,1º,2022-06-07,Savings,2,I have not been working,I will start putting a little money away each week when I start working to build a savings account,12,2023-06-07
26186,2022-07-11,2º,2022-07-11,Income,2,I was home taking care of my children until they started school,find me a job by applying online and in person,12,2023-07-11
26186,2022-11-29,3º,2022-11-29,Credit,2,I have to do it on my credit check ,Plan the credit right,6,2023-05-29
23607,2022-12-08,3º,2022-12-08,Enough space,2,I have not tried to buy a bigger home,money for closing cost,12,2023-12-08
23607,2022-12-08,3º,2022-12-08,Continuous Learning,2,don't have time to go to school,apply for online colleges,12,2023-12-08
32019,2022-02-22,1º,2022-03-01,Nutritious diet,2,Need more information,Read about nitrition and recipes,5,2022-08-01
163235,2021-10-28,1º,2021-10-28,Debt,1,Not enough income,Cut back,6,2022-04-28
163235,2022-12-06,3º,2022-12-06,Budget,1,Just when we had one is not enough,Get a new plan,20,2024-08-06
37313,2023-02-14,1º,2023-02-14,Nutritious diet,2,"when we are busy , get fast food ",,6,2023-08-14
147248,2021-11-08,1º,2021-11-09,Water,2,we have city water ,get extra water bottles in packs for backup  ,3,2022-02-09
147248,2021-11-08,1º,2021-11-09,Nutritious diet,2,always trying to get fast food ,plan ahead on buying health foods ,2,2022-01-09
147248,2021-11-08,1º,2021-11-09,Physical Activity,2,working times,adjust times to do physical activities ,12,2022-11-09
34881,2021-11-04,1º,2021-11-04,Income,2,TAKE A CLASS FOR A TRADE AT THE SCC,CALL SAMPSON COMMUNITY COLLEGE FOR MORE INFORMATION ,6,2022-05-04
34881,2021-11-04,1º,2021-11-04,Savings,2,COVID MADE ME LOOSE MY JOB,SIDE JOBS AND PUT AWAY 25 DOLLARS A MONTH,8,2022-07-04
34881,2021-11-04,1º,2021-11-04,Debt,2,MAKE A PLAN TO PAY THE SMALL  BILLS OFF FIRST,START BY TA                                                    BY TAKING NOTES AND KEEPING UP WITH DATES AS I PAY A BILL OFF.                                                                                                  ,12,2022-11-04
34881,2022-07-11,2º,2022-07-11,Income,2,my husband got sick and  I had to stay home and take care of him.,Now that he is better I got a full time job,12,2023-07-11
35506,2021-11-11,1º,2021-11-11,Nutritious diet,2,We are busy sometimes during the week we get fast food once awhile ,We will plan on a healthy nutritious balance meal for the weekly ,6,2022-05-11
6,2021-03-19,1º,2021-05-18,Credit,2,Past due balances,Start payment plan,17,2022-10-18
36845,2022-12-19,1º,2022-12-19,Physical Activity,2,Due to time management,make time for the weekends to do more outside activities,4,2023-04-19
37261,2023-01-12,1º,2023-01-12,Budget,2,,,6,2023-07-12
37261,2023-01-12,1º,2023-01-12,Nutritious diet,2,,,4,2023-05-12
27966,2021-11-03,1º,2021-11-03,Savings,1,I have been unemployed ,Keep working,8,2022-07-03
27966,2021-11-03,1º,2021-11-03,Budget,1,Single parent and once I pay all my bills i have no extra money.,Save and budget better.,8,2022-07-03
27966,2021-11-03,1º,2021-11-03,Healthy teeth,1,Have not been meeping up our appointments ,Make appointment ,1,2021-12-03
16169,2022-10-05,1º,2022-10-05,Income,2,One family member works,Try to get a full time job,4,2023-02-05
16169,2022-10-05,1º,2022-10-05,Credit,2,I have a repo on my credit,Apply to credit to help build it up,6,2023-04-05
16169,2022-10-05,1º,2022-10-05,Physical Activity,2,Time management ,Better manage my time wisely ,3,2023-01-05
33967,2021-11-05,1º,2021-11-18,Physical Activity,2,Procrastination.,Maybe incorporate exercise into my time with the kids.,5,2022-04-18
33967,2022-05-09,2º,2022-05-09,Income,2,I work part time so I will be home to take care of my children,I am looking for a full time job at night and sister will watch them for me at night,12,2023-05-09
33967,2022-05-09,2º,2022-05-09,Savings,2,I have only been working part time,When I start the a full time job I will put money in a savings account weekly,12,2023-05-09
26191,2021-11-10,1º,2021-11-10,Savings,2,Due to the Pandemic we have not saved any money.,My family has started putting 50 dollars up a week for saving.,6,2022-05-10
26191,2021-11-10,1º,2021-11-10,Credit,2,I had never taken time to think about it.,I was told about some resources like credit sesame and credit karma I will be joining one.,6,2022-05-10
26191,2021-11-10,1º,2021-11-10,Employability Readiness,2,I need help,My family service worker showed me how to create one online.,4,2022-03-10
26191,2022-12-12,3º,2022-12-12,Nutritious diet,2,I have to establish healthy meals ,Do Healthy meals at family dinners ,6,2023-06-12
36528,2022-12-08,1º,2022-12-08,Budget,2,I feel because I need more money,try to find a job that pays more money,12,2023-12-08
37224,2023-03-08,1º,2023-03-08,Income,2,Living expenses are high,Finish college. I'm currently enrolled  at Fayetteville Technical College in the Paralegal program,12,2024-03-08
37224,2023-03-08,1º,2023-03-09,Savings,2,High living expenses and not enough income left for savings.,Complete college education in order to obtain a high paying job.,12,2024-03-09
37224,2023-03-08,1º,2023-03-09,Debt,2,Currently underemployed ,Finish my college courses  and become a paralegal.,12,2024-03-09
24269,2021-11-10,1º,2021-11-10,Income,2,It takes what I make,Ask for a raise or apply for a job paying more money,6,2022-05-10
24269,2021-11-10,1º,2021-11-10,Savings,2,every time I save money I have to spend it on something in the house.,Put it in a savings account if it is only 20 dollars a week,6,2022-05-10
24269,2021-11-10,1º,2021-11-10,Debt,2,It takes what I makes,find a better paying job,12,2022-11-10
24269,2022-11-29,3º,2022-11-29,Budget,2,not Budgeting right ,plan it right,12,2023-11-29
153756,2021-11-04,1º,2021-11-17,Income,2,I'm currently looking for a job.,"I will start a checking account, and deposit $20.00, per pay period.",4,2022-03-17
153756,2021-11-04,1º,2021-11-04,Savings,2,I'M CURRENTLY NOT WORKING. ,I PLAN TO START WKRK NEXT WEEK.,2,2022-01-04
153756,2021-11-04,1º,2021-11-17,Stable Income,2,I don't have a job.,"I know have stable transportation, therefore I'm looking for stable full-time employment. ",6,2022-05-17
32568,2021-10-19,1º,2021-10-19,Savings,2,Emergancy comes up have to use the short amount of money ,Apply to insurance benefits ,2,2021-12-19
32568,2021-10-19,1º,2021-10-19,Nutritious diet,2,Need education on healthy eating habits.,Ask nutritionists for more information ,3,2022-01-19
32568,2021-10-19,1º,2021-10-19,Civic Engagement,1,Self choice,Move to a better community,9,2022-07-19
36815,2022-12-15,1º,2022-12-15,Savings,2,One parent working,maintain budget,6,2023-06-15
36815,2022-12-15,1º,2022-12-15,Stable Income,2,One person working,Not overspend,6,2023-06-15
27900,2022-01-20,1º,2022-01-20,Budget,2,never took time to do it,write down all my bills and what money I have coming in.,12,2023-01-20
