Family ID,Created at,Survey number,Worker,Gender,Country of birth,People in household,Race,Hispanic,Housing situation,Rent vs. Own,Child mortality,Disability,Automobile,Veteran Status,LGBTQ,Early Childhood Education,Number of People in Household with GED or HS Diploma,Highest level,Highest level in household,Annual income,Primary economic activity:,Assistance:
30246,2021-12-09,1º,agarcia4,Male,United States of America,4,White,No,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,29000,Employed Full-Time,
30246,2022-05-05,2º,agarcia4,Male,United States of America,4,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,,,,Employed Full-Time,None
36150,2022-09-22,1º,kmacedo,Female,United States of America,5,Other,Yes,Single Family House,Live with another family,No,No,No,No,No,Yes,1,High School/GED,High School/GED,23400,"Unemployed,Employed Full-Time",Food stamps
36150,2023-03-28,2º,kmacedo,Female,United States of America,5,,Yes,Single Family House,Temporary housing/shelter,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,20800,Employed Full-Time,WIC
28110,2022-01-21,1º,vbryant,Female,United States of America,3,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,18137,Employed Full-Time,"Food stamps,WIC"
28110,2022-05-06,2º,vbryant,Female,United States of America,3,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,16313,Employed Full-Time,"Food stamps,WIC"
28110,2022-12-08,3º,njaen,Female,United States of America,3,Black or African American,,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,18137,Employed Full-Time,"Food stamps,WIC"
35054,2022-11-28,1º,mespino,Female,United States of America,4,American Indian or Alaska Native,Yes,Trailer/Mobile Home,Rent my home,No,No,No,No,No,Yes,0,Less than High School,Less than High School,,Stay-at-Home Caregiver,"Food stamps,WIC,Other"
26714,2021-11-03,1º,vbryant,Female,United States of America,7,Black or African American,No,Trailer/Mobile Home,Live with another family,No,No,Yes,No,No,Yes,1,Less than High School,High School/GED,0,Unemployed,"Food stamps,WIC"
26714,2022-05-05,2º,qalamin,Female,United States of America,7,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Unemployed,"Food stamps,WIC"
26714,2022-11-09,3º,qalamin,Female,United States of America,7,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,Less than High School,High School/GED,,In School,"WIC,Food stamps"
35407,2022-12-02,1º,mespino,Female,United States of America,6,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,25000,Employed Full-Time,WIC
35407,2022-07-06,1º,mespino,Female,United States of America,6,White,No,Apartment/Condominium,,,,,,,,,,,,,
28544,2022-10-04,1º,snguyen,Female,United States of America,5,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,"Food stamps,WIC"
28544,2023-06-30,2º,snguyen,Female,United States of America,5,Other,Yes,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Stay-at-Home Caregiver,Food stamps
37201,2023-04-24,1º,mespino,Female,United States of America,6,American Indian or Alaska Native,Yes,Trailer/Mobile Home,Own my home,No,Prefer not to say,Yes,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,Other
35054,2021-11-17,1º,agarcia4,Female,United States of America,1,Other,Yes,Apartment/Condominium,Live with parents,No,No,No,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,"Food stamps,WIC"
33057,2022-11-16,1º,jdeleon,Female,United States of America,6,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,Yes,Yes,0,Less than High School,Less than High School,,Employed Part-Time,"Food stamps,WIC"
33057,2023-04-24,2º,yliaogomez,Female,United States of America,6,,,,,,,,,,,,,,,,
33057,2021-11-10,1º,ialba,Female,United States of America,5,White,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Stay-at-Home Caregiver,"Food stamps,WIC"
147772,2021-11-11,1º,njaen,Female,United States of America,4,"Black or African American,Other",No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,15904,Employed Full-Time,"Food stamps,WIC"
147772,2022-05-03,2º,njaen,Female,United States of America,4,Black or African American,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,
26757,2021-11-10,1º,ialba,Female,Mexico,4,White,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,None
26757,2022-05-09,2º,vbryant,Female,Mexico,4,Other,Yes,Single Family House,Own my home,Yes,No,No,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,76214,Employed Full-Time,
19959,2021-12-17,1º,vbryant,Female,United States of America,5,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,25400,Employed Full-Time,"Food stamps,Other"
19959,2022-05-03,2º,vbryant,Female,United States of America,5,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,25400,Employed Full-Time,"Food stamps,WIC"
174347,2023-01-27,1º,mespino,Female,United States of America,2,White,Yes,Trailer/Mobile Home,Live with parents,No,No,Yes,No,No,No,0,Less than High School,Less than High School,,Unemployed,"Food stamps,WIC,Other"
34636,2021-10-15,1º,kmacedo,Male,Honduras,3,"Other,White",Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,Less than High School,High School/GED,20000,Employed Full-Time,Other
34636,2022-05-04,2º,kmacedo,Male,Honduras,3,"White,Other",Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,Less than High School,High School/GED,20000,Employed Full-Time,Other
34636,2022-09-07,3º,kmacedo,Male,Honduras,3,Other,Yes,Group Home,Live with parents,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,19300,Employed Full-Time,None
34636,2023-04-27,4º,kmacedo,Male,Honduras,3,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,20000,Employed Full-Time,None
30758,2021-11-05,1º,kmacedo,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,Yes,Yes,No,No,Yes,0,Less than High School,Less than High School,12000,Employed Part-Time,"Food stamps,WIC,Social Security"
30758,2022-05-03,2º,kmacedo,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,Yes,Yes,No,No,Yes,0,Less than High School,Less than High School,12000,Employed Part-Time,"Food stamps,WIC,Social Security"
30758,2022-11-16,3º,kmacedo,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,Yes,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Unemployed,"Other,Social Security,Food stamps"
30758,2023-05-04,4º,kmacedo,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,Yes,Yes,No,No,Yes,,High School/GED,High School/GED,,Employed Part-Time,"Food stamps,WIC,Social Security"
36480,2022-12-08,1º,mespino,Female,United States of America,2,Black or African American,No,Single Family House,Live with parents,No,No,Yes,No,No,No,3,High School/GED,High School/GED,18000,Employed Full-Time,Food stamps
36480,2023-04-03,2º,mespino,Female,United States of America,2,Black or African American,,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,,Food stamps
29325,2021-10-19,1º,avanegasvelasquez,Female,United States of America,5,Other,Yes,Single Family House,Rent my home,No,Yes,Yes,No,No,No,2,High School/GED,High School/GED,,Employed Full-Time,WIC
29325,2022-05-05,2º,avanegasvelasquez,Female,United States of America,5,Other,Yes,Single Family House,Own my home,No,Yes,Yes,No,No,Yes,0,Less than High School,Less than High School,,"Employed Full-Time,Unemployed",WIC
30075,2021-12-08,1º,agarcia4,Non-binary/third gender,United States of America,3,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Employed Full-Time,Food stamps
30075,2022-05-05,2º,agarcia4,Non-binary/third gender,United States of America,3,White,No,Single Family House,Live with parents,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,20000,Employed Full-Time,None
19836,2021-11-02,1º,kmacedo,Female,United States of America,6,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,High School/GED,11000,"In School,Stay-at-Home Caregiver","Food stamps,WIC"
19836,2022-05-03,2º,kmacedo,Female,United States of America,6,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,High School/GED,11000,"In School,Stay-at-Home Caregiver","Food stamps,WIC"
24393,2023-04-24,1º,mespino,Female,United States of America,4,American Indian or Alaska Native,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,Other
24393,2023-06-08,2º,mespino,Female,United States of America,4,American Indian or Alaska Native,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,,,
37202,2022-12-19,1º,jdeleon,Male,United States of America,3,Black or African American,No,Single Family House,Live with parents,No,No,Yes,No,No,Not applicable,1,High School/GED,High School/GED,23000,Employed Full-Time,Food stamps
37202,2023-04-25,2º,yliaogomez,Male,United States of America,3,,,,,,,,,,,,,,,,
12107,2022-11-29,1º,njaen,Female,United States of America,7,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,0,Employed Full-Time,"Food stamps,WIC"
12107,2023-04-24,2º,njaen,Female,United States of America,7,Other,,,,,,,,,,,,,,Other,
12107,2023-04-24,3º,njaen,Female,United States of America,7,Other,,,,,,,,,,,,,,Other,Food stamps
33535,2021-11-04,1º,swilliamson,Female,United States of America,4,White,No,Single Family House,Rent my home,No,Yes,No,No,No,I don’t know,0,Less than High School,Less than High School,,Stay-at-Home Caregiver,"Food stamps,WIC"
36033,2022-02-10,1º,vbryant,Female,United States of America,2,"White,Other",No,LIVING DOUBLE WITH A FAMILY MEMEBER AT THIS TIME,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,12100,Employed Full-Time,"Food stamps,WIC"
36033,2022-05-03,2º,vbryant,Female,United States of America,2,Other,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,8560,Employed Part-Time,"Food stamps,WIC"
36033,2022-11-29,3º,njaen,Female,United States of America,2,"White,Other",No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,8560,Employed Full-Time,"Food stamps,WIC"
36033,2023-04-24,4º,njaen,Female,United States of America,2,Other,No,Single Family House,Rent my home,No,No,Yes,No,No,,,,,,Other,Food stamps
27876,2021-10-20,1º,nanderson,Female,United States of America,5,White,No,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,27000,Employed Full-Time,Food stamps
27876,2022-05-05,2º,nanderson,Female,United States of America,5,White,No,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,27000,"Employed Full-Time,Other",Food stamps
27876,2022-10-12,3º,kmacedo,Female,United States of America,5,White,No,Single Family House,Own my home,No,No,Yes,No,No,No,1,High School/GED,High School/GED,26000,Employed Full-Time,Food stamps
27876,2023-04-27,4º,kmacedo,Female,United States of America,5,White,No,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,27000,Employed Full-Time,Food stamps
37088,2023-02-27,1º,yliaogomez,Male,United States of America,4,"Other,Black or African American",No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,No,2,High School/GED,High School/GED,,Employed Full-Time,Food stamps
37088,2023-06-12,2º,yliaogomez,Male,United States of America,4,,,,,,,,,,,,,,,,
28935,2022-01-05,1º,vbryant,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,1032202,Employed Full-Time,"Food stamps,WIC"
28935,2022-04-28,2º,vbryant,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,1148,Employed Full-Time,"Food stamps,WIC"
127788,2023-02-02,1º,yliaogomez,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,Yes,Prefer not to say,Yes,1,High School/GED,,,Employed Full-Time,Food stamps
127788,2023-03-27,2º,yliaogomez,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Employed Full-Time,Food stamps
37195,2023-03-08,1º,yliaogomez,Female,United States of America,3,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,24000,Employed Part-Time,"Food stamps,WIC"
37195,2023-06-12,2º,yliaogomez,Female,United States of America,3,,,,,,,,,,,,,,,,
168352,2022-12-07,1º,yliaogomez,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,"Food stamps,WIC"
168352,2023-06-20,2º,yliaogomez,Female,United States of America,2,,,,,,,,,,,,,,,,
36317,2022-05-26,1º,vsanchezlopez,Female,United States of America,4,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,,,,,,Stay-at-Home Caregiver,
36317,2022-07-06,2º,vsanchezlopez,Female,United States of America,4,Other,Yes,Single Family House,Own my home,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,,Stay-at-Home Caregiver,Other
37539,2023-03-23,1º,yliaogomez,Female,United States of America,5,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,Prefer not to say,Yes,1,High School/GED,Less than High School,,Employed Full-Time,Food stamps
29909,2023-01-12,1º,njaen,Female,United States of America,5,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,Less than High School,0,Employed Full-Time,"Food stamps,WIC"
131098,2021-11-09,1º,njaen,Female,United States of America,2,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,10400,"Stay-at-Home Caregiver,Other","WIC,Food stamps"
17340,2022-06-29,1º,vsanchezlopez,Female,United States of America,7,Other,Yes,Single Family House,Own my home,No,Yes,Yes,No,No,Yes,0,High School/GED,High School/GED,,Stay-at-Home Caregiver,Food stamps
36859,2022-11-29,1º,yliaogomez,Female,United States of America,3,"Black or African American,Native Hawaiian or Other Pacific Islander",No,Single Family House,Rent my home,No,No,Yes,No,Prefer not to say,Yes,1,High School/GED,Two-Year College Degree,,In School,WIC
36859,2022-10-07,1º,qalamin,Female,United States of America,4,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,,In School,WIC
32562,2021-10-28,1º,avanegasvelasquez,Female,Honduras,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,Yes,No,No,No,Yes,,Less than High School,Less than High School,,Unemployed,"Food stamps,Disability,Social Security"
32562,2022-05-05,2º,avanegasvelasquez,Female,Honduras,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,Yes,No,No,No,Yes,0,Less than High School,Less than High School,,Unemployed,"Food stamps,Social Security,WIC,Disability"
32562,2022-11-09,1º,avanegasvelasquez,Female,United States of America,4,Other,Yes,Single Family House,Rent my home,No,Yes,No,No,No,Yes,0,Less than High School,Less than High School,,Unemployed,"Food stamps,Social Security,Other"
32562,2023-04-21,2º,avanegasvelasquez,Female,United States of America,4,Other,Yes,Single Family House,Rent my home,No,Yes,No,,No,Yes,0,Less than High School,Less than High School,,Unemployed,"Food stamps,Disability,WIC"
172301,2022-10-04,1º,alopez,Female,United States of America,3,White,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,30000,Employed Full-Time,WIC
19128,2021-12-08,1º,agarcia4,Female,United States of America,6,Black or African American,No,Single Family House,Own my home,No,No,No,No,No,No,1,High School/GED,Two-Year College Degree,8000,Unemployed,"TANF,WIC,Food stamps"
69280,2023-03-13,1º,mmassey,Female,United States of America,6,Black or African American,No,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Employed Part-Time,Food stamps
36547,2022-10-18,1º,kmacedo,Female,United States of America,4,White,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,30000,Employed Full-Time,Food stamps
36547,2023-05-09,2º,kmacedo,Female,United States of America,4,"White,Black or African American",No,Single Family House,Own my home,No,No,Yes,No,No,Yes,,High School/GED,High School/GED,,"Employed Full-Time,Employed Part-Time",Food stamps
35261,2022-12-08,1º,jdeleon,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,,Food stamps
35261,2023-04-24,2º,yliaogomez,Female,United States of America,3,,,,,,,,,,,,,,,,
169685,2022-12-08,1º,yliaogomez,Male,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,No,No,No,No,Yes,1,High School/GED,Less than High School,,Employed Full-Time,WIC
32396,2021-10-19,1º,nanderson,Female,United States of America,6,Black or African American,No,Trailer/Mobile Home,Live with parents,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,25000,Employed Full-Time,"WIC,Food stamps"
32396,2022-05-05,2º,nanderson,Female,United States of America,6,Black or African American,No,Trailer/Mobile Home,Live with parents,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,25000,Employed Full-Time,"Food stamps,WIC"
32396,2022-10-12,3º,kmacedo,Female,United States of America,6,Black or African American,No,Trailer/Mobile Home,Live with parents,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,26000,Employed Full-Time,"WIC,Food stamps"
32396,2023-03-24,4º,kmacedo,Female,United States of America,6,Black or African American,No,Trailer/Mobile Home,Live with parents,No,No,Yes,No,No,Yes,2,High School/GED,Less than High School,32000,Employed Full-Time,WIC
135022,2022-05-03,1º,njaen,Female,United States of America,3,Other,Yes,Single Family House,Rent my home,No,No,,No,No,Yes,1,Two-Year College Degree,Less than High School,20648,"Employed Full-Time,In School",Food stamps
135022,2022-05-03,2º,njaen,Female,United States of America,3,,Yes,Single Family House,Rent my home,No,No,No,No,No,Yes,1,Two-Year College Degree,High School/GED,20000,"Employed Full-Time,In School",
33835,2023-03-24,1º,mespino,Female,United States of America,2,American Indian or Alaska Native,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,No,,,,,Employed Full-Time,Other
33835,2023-04-21,2º,mespino,Female,United States of America,2,,,,,,,,,,,,,,,,
33643,2022-07-06,1º,mespino,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,Prefer not to say,,1,High School/GED,High School/GED,,Unemployed,"Food stamps,Other"
33643,2022-09-29,2º,mespino,Female,United States of America,3,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,,High School/GED,,Employed Full-Time,"Food stamps,WIC"
33643,2023-04-21,3º,mespino,Female,United States of America,3,,,,,,,,,,,,,,,,
144679,2021-11-04,1º,agarcia4,Female,United States of America,8,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,0,Less than High School,High School/GED,15000,"Employed Full-Time,Unemployed",WIC
144679,2022-05-05,2º,agarcia4,Female,United States of America,8,White,Yes,Apartment/Condominium,Own my home,No,No,No,No,No,Yes,0,High School/GED,Less than High School,,,
172264,2022-11-29,1º,yliaogomez,Female,United States of America,4,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,Prefer not to say,Yes,1,High School/GED,High School/GED,,Employed Full-Time,
36660,2022-10-06,1º,snguyen,Female,United States of America,4,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,2,Two-Year College Degree,Two-Year College Degree,,"Stay-at-Home Caregiver,Employed Full-Time",WIC
36660,2023-06-29,2º,snguyen,Female,United States of America,4,White,Yes,Trailer/Mobile Home,Live with parents,No,No,Yes,No,No,No,1,Two-Year College Degree,Two-Year College Degree,8400,"Unemployed,Stay-at-Home Caregiver","WIC,Food stamps"
32603,2022-06-28,1º,dgomezserrano,Female,United States of America,4,White,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,No,0,High School/GED,Less than High School,,"Stay-at-Home Caregiver,Employed Full-Time",
32603,2022-11-29,2º,dgomezserrano,Female,United States of America,4,White,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,"Employed Full-Time,Stay-at-Home Caregiver",
32603,2023-06-28,3º,avanegasvelasquez,Female,United States of America,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,2,High School/GED,High School/GED,,"Employed Full-Time,Unemployed","Other,None"
35311,2022-10-11,1º,kmacedo,Female,United States of America,5,Other,Yes,Single Family House,Own my home,No,No,Yes,No,No,No,2,High School/GED,High School/GED,30000,Employed Full-Time,"WIC,Other"
35311,2023-05-04,2º,kmacedo,Female,United States of America,5,,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,,High School/GED,High School/GED,,Employed Full-Time,"Food stamps,WIC"
36706,2022-11-28,1º,mespino,Female,United States of America,3,American Indian or Alaska Native,Yes,,,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,"Employed Full-Time,Employed Part-Time",Other
36706,2023-04-21,2º,mespino,Female,United States of America,3,,,,,,,,,,,,,,,,
35444,2021-11-12,1º,ialba,Female,United States of America,2,,,Single Family House,Live with another family,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,In School,Food stamps
35444,2022-04-25,2º,swilliamson,Female,United States of America,3,White,No,Single Family House,Live with another family,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Unemployed,"Food stamps,WIC"
32005,2022-11-08,1º,jdeleon,Female,United States of America,6,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,19200,"Employed Full-Time,In School","Food stamps,WIC"
29777,2021-10-05,1º,mmarquez1,Female,Mexico,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,,Less than High School,Less than High School,,Employed Full-Time,None
29777,2022-05-04,2º,mmarquez1,Female,Mexico,4,,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Employed Full-Time,Food stamps
36497,2022-11-29,1º,njaen,Female,United States of America,4,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,0,Unemployed,"Food stamps,WIC"
36497,2023-04-24,2º,njaen,Female,United States of America,4,Black or African American,,,,,,,,,,,,,,,
35371,2021-12-08,1º,mespino,Female,Guatemala,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,,Unemployed,WIC
35371,2022-05-06,2º,mespino,Female,Guatemala,4,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,,,,,,,,
149972,2022-05-04,1º,njaen,Female,United States of America,4,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,20800,Employed Full-Time,Food stamps
36119,2022-03-31,1º,snguyen,Female,United States of America,6,Other,Yes,Trailer/Mobile Home,Own my home,No,Prefer not to say,Yes,No,No,No,1,High School/GED,High School/GED,,"Employed Full-Time,Stay-at-Home Caregiver",None
36119,2022-10-18,2º,snguyen,Female,United States of America,6,Other,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,"Stay-at-Home Caregiver,Employed Full-Time","Food stamps,WIC"
36318,2022-12-08,1º,jdeleon,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Unemployed,"Food stamps,WIC"
36318,2023-04-26,2º,yliaogomez,Female,United States of America,2,,,,,,,,,,,,,,,,
47423,2023-03-28,1º,yliaogomez,Female,United States of America,3,Black or African American,No,Single Family House,Live with another family,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,In School,Food stamps
26061,2021-11-17,1º,vbryant,Female,United States of America,3,White,Yes,Single Family House,Own my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,21279,Employed Part-Time,"Food stamps,WIC"
26061,2022-05-09,2º,vbryant,Female,United States of America,3,Other,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,21279,Employed Full-Time,"Food stamps,WIC"
1110602,2022-11-15,1º,yliaogomez,Female,United States of America,3,White,Yes,Trailer/Mobile Home,Own my home,No,No,Yes,No,No,Yes,1,Two-Year College Degree,Two-Year College Degree,,Employed Full-Time,"WIC,Food stamps"
1110602,2023-06-20,2º,yliaogomez,Female,United States of America,3,,,,,,,,,,,,,,,,
37356,2022-11-28,1º,mespino,Female,Mexico,5,American Indian or Alaska Native,Yes,Trailer/Mobile Home,,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Stay-at-Home Caregiver,"Food stamps,WIC"
35683,2022-12-06,1º,mespino,Female,United States of America,7,American Indian or Alaska Native,Yes,Trailer/Mobile Home,Rent my home,No,No,No,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,"Food stamps,WIC,Other"
23673,2021-11-11,1º,ialba,Female,Mexico,4,White,Yes,Single Family House,Own my home,No,Yes,Yes,No,No,Yes,2,High School/GED,High School/GED,,Employed Full-Time,Disability
23673,2022-05-09,2º,vbryant,Female,Mexico,4,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Other,"Social Security,Food stamps,WIC"
37119,2022-12-13,1º,njaen,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,0,Employed Part-Time,"Food stamps,WIC"
37119,2023-04-24,2º,njaen,Female,United States of America,2,Black or African American,,,,,,,,,,,,,,,
126384,2021-11-10,1º,njaen,Female,United States of America,5,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,21200,Employed Part-Time,Food stamps
126384,2022-05-03,2º,njaen,Female,United States of America,5,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,21200,Other,Food stamps
36705,2022-12-08,1º,mespino,Female,United States of America,4,White,Yes,Trailer/Mobile Home,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,,Unemployed,"Other,WIC"
36705,2023-03-28,2º,mespino,Female,United States of America,4,Other,Yes,,,,,,,,,,,,,Employed Full-Time,Food stamps
36022,2022-05-06,1º,vbryant,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Live with parents,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Unemployed,"Food stamps,WIC"
36022,2022-05-06,2º,vbryant,Female,United States of America,2,Black or African American,No,Apartment/Condominium,Live with parents,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,Unemployed,"Food stamps,WIC"
36022,2022-11-29,3º,njaen,Female,United States of America,2,Black or African American,No,Single Family House,Rent my home,No,No,Yes,No,No,Yes,1,High School/GED,High School/GED,0,"Unemployed,In School","Food stamps,WIC"
36022,2023-04-24,4º,njaen,Female,United States of America,2,Black or African American,,,,,,,,,,,,,,Employed Full-Time,Food stamps
18779,2022-01-21,1º,vbryant,Female,United States of America,4,Other,Yes,Single Family House,Rent my home,No,No,Yes,No,No,Yes,0,Less than High School,Less than High School,21200,Self-Employed,"Food stamps,WIC"
